trip_id,start_time,end_time,headway_secs,exact_times
t55,20:00:00,21:00:00,900,0
t57,20:00:00,21:00:00,900,0
t59,20:00:00,21:00:00,720,0
t63,20:00:00,21:00:00,900,0
t65,20:00:00,21:00:00,900,0
t67,20:00:00,21:00:00,720,0
t69,20:00:00,21:00:00,600,0
t73,20:00:00,21:00:00,720,0
t77,20:00:00,21:00:00,900,0
t83,20:00:00,21:00:00,1200,0
t87,20:00:00,21:00:00,720,0
t2,20:00:00,21:00:00,3600,0
t14,21:00:00,22:00:00,1800,0
t17,21:00:00,22:00:00,1200,0
t93,21:00:00,22:00:00,1800,0
t21,21:00:00,22:00:00,1200,0
t23,21:00:00,22:00:00,900,0
t27,21:00:00,22:00:00,900,0
t29,21:00:00,22:00:00,1800,0
t33,21:00:00,22:00:00,720,0
t35,21:00:00,22:00:00,900,0
t38,21:00:00,22:00:00,900,0
t41,21:00:00,22:00:00,900,0
t43,21:00:00,22:00:00,1200,0
t55,21:00:00,22:00:00,1200,0
t57,21:00:00,22:00:00,900,0
t59,21:00:00,22:00:00,900,0
t63,21:00:00,22:00:00,900,0
t65,21:00:00,22:00:00,1200,0
t67,21:00:00,22:00:00,720,0
t69,21:00:00,22:00:00,600,0
t73,21:00:00,22:00:00,720,0
t77,21:00:00,22:00:00,900,0
t83,21:00:00,22:00:00,1200,0
t87,21:00:00,22:00:00,720,0
t2,21:00:00,22:00:00,3600,0
t14,22:00:00,23:00:00,3600,0
t17,22:00:00,23:00:00,1800,0
t93,22:00:00,23:00:00,1800,0
t21,22:00:00,23:00:00,1800,0
t23,22:00:00,23:00:00,1200,0
t27,22:00:00,23:00:00,1200,0
t29,22:00:00,23:00:00,1800,0
t33,22:00:00,23:00:00,1800,0
t35,22:00:00,23:00:00,3600,0
t38,22:00:00,23:00:00,900,0
t41,22:00:00,23:00:00,1200,0
t43,22:00:00,23:00:00,1200,0
t55,22:00:00,23:00:00,1800,0
t57,22:00:00,23:00:00,1200,0
t59,22:00:00,23:00:00,1200,0
t63,22:00:00,23:00:00,1200,0
t65,22:00:00,23:00:00,1800,0
t67,22:00:00,23:00:00,1200,0
t69,22:00:00,23:00:00,900,0
t73,22:00:00,23:00:00,1200,0
t77,22:00:00,23:00:00,1200,0
t83,22:00:00,23:00:00,1200,0
t87,22:00:00,23:00:00,900,0
t14,23:00:00,24:00:00,1800,0
t17,23:00:00,24:00:00,3600,0
t93,23:00:00,24:00:00,1200,0
t21,23:00:00,24:00:00,1800,0
t23,23:00:00,24:00:00,1800,0
t27,23:00:00,24:00:00,1800,0
t29,23:00:00,24:00:00,3600,0
t33,23:00:00,24:00:00,1800,0
t35,23:00:00,24:00:00,3600,0
t38,23:00:00,24:00:00,1200,0
t41,23:00:00,24:00:00,1800,0
t43,23:00:00,24:00:00,1800,0
t55,23:00:00,24:00:00,1800,0
t57,23:00:00,24:00:00,1200,0
t59,23:00:00,24:00:00,1200,0
t63,23:00:00,24:00:00,1200,0
t65,23:00:00,24:00:00,1800,0
t67,23:00:00,24:00:00,1200,0
t69,23:00:00,24:00:00,900,0
t73,23:00:00,24:00:00,1800,0
t77,23:00:00,24:00:00,1800,0
t83,23:00:00,24:00:00,1800,0
t87,23:00:00,24:00:00,1200,0
